Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-23T18:12:03.316;137;1,4
2026-03-23T18:12:04.274;134;6,0
2026-03-23T18:12:05.239;132;6,0
2026-03-23T18:12:06.196;130;6,1
2026-03-23T18:12:07.622;129;6,1
2026-03-23T18:12:09.543;128;6,2
2026-03-23T18:12:12.916;127;6,2
2026-03-23T18:12:12.919;126;6,2
2026-03-23T18:12:15.796;126;6,2
2026-03-23T18:12:16.264;126;6,2
2026-03-23T18:12:16.756;127;6,2
2026-03-23T18:12:16.758;127;6,3
2026-03-23T18:12:17.234;128;6,2
2026-03-23T18:12:18.678;129;6,2
2026-03-23T18:12:18.679;129;6,2
2026-03-23T18:12:19.637;129;3,0
2026-03-23T18:12:19.638;129;3,2
2026-03-23T18:12:20.595;129;25,6
2026-03-23T18:12:21.538;129;37,4
2026-03-23T18:12:23.465;130;37,4
2026-03-23T18:12:23.469;130;37,4
2026-03-23T18:12:24.917;131;37,4
2026-03-23T18:12:26.837;132;37,4
2026-03-23T18:12:26.840;132;37,4
2026-03-23T18:12:28.275;132;37,4
2026-03-23T18:12:29.225;131;37,4
2026-03-23T18:12:29.229;130;37,4
2026-03-23T18:12:30.677;130;37,4
2026-03-23T18:12:31.145;129;37,4
2026-03-23T18:12:32.116;129;37,4
2026-03-23T18:12:34.036;129;27,3
2026-03-23T18:12:34.517;129;1,7
2026-03-23T18:12:35.476;129;1,7
2026-03-23T18:12:39.793;129
2026-03-23T18:12:39.795;128;1,8
2026-03-23T18:12:39.798;127;1,7
2026-03-23T18:12:39.800;127;1,7
2026-03-23T18:12:40.266;127;1,9
2026-03-23T18:12:41.236;128;1,9
2026-03-23T18:12:42.182;128;2,0
2026-03-23T18:12:44.107;129;1,9
2026-03-23T18:12:44.596;128;1,7
2026-03-23T18:12:46.021;128;2,0
2026-03-23T18:12:47.475;127;2,0
2026-03-23T18:12:47.478;127;1,9
2026-03-23T18:12:48.916;126;2,1
2026-03-23T18:12:49.397;125;2,9
2026-03-23T18:12:50.356;126;2,9
2026-03-23T18:12:51.317;126;3,0
2026-03-23T18:12:52.756;128;3,4
2026-03-23T18:12:53.235;129;3,4
2026-03-23T18:12:56.598;130;3,3
2026-03-23T18:12:56.601;131;3,3
