Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-23T17:27:58.535;111
2026-03-23T17:27:59.492;109
2026-03-23T17:28:00.454;108;6,4
2026-03-23T17:28:01.414;106;6,0
2026-03-23T17:28:02.374;105;5,2
2026-03-23T17:28:03.335;105;7,1
2026-03-23T17:28:04.296;106;6,6
2026-03-23T17:28:05.255;107;6,5
2026-03-23T17:28:06.694;108;6,6
2026-03-23T17:28:08.135;110;6,2
2026-03-23T17:28:08.137;109;6,3
2026-03-23T17:28:10.054;108;7,6
2026-03-23T17:28:10.534;106;7,2
2026-03-23T17:28:11.494;106;7,2
2026-03-23T17:28:12.456;107;7,0
2026-03-23T17:28:13.412;108;6,8
2026-03-23T17:28:14.376;108;6,5
2026-03-23T17:28:15.335;109;6,3
2026-03-23T17:28:16.295;109;6,3
2026-03-23T17:28:17.255;109;6,1
2026-03-23T17:28:18.684;110;6,2
2026-03-23T17:28:19.174;111;5,4
2026-03-23T17:28:20.119;112;5,5
2026-03-23T17:28:21.096;112;5,2
2026-03-23T17:28:22.536;114;5,4
2026-03-23T17:28:23.496;115;5,4
2026-03-23T17:28:24.456;116;3,5
2026-03-23T17:28:25.417;116;3,5
2026-03-23T17:28:26.377;116;3,1
2026-03-23T17:28:27.335;116;3,1
2026-03-23T17:28:28.297;115;3,1
2026-03-23T17:28:29.257;115;2,9
2026-03-23T17:28:30.217;115;2,8
2026-03-23T17:28:31.176;114;2,8
2026-03-23T17:28:32.615;114;2,8
2026-03-23T17:28:33.575;115;2,9
2026-03-23T17:28:34.535;115;2,9
2026-03-23T17:28:35.492;116;2,6
2026-03-23T17:28:38.377;116;2,6
2026-03-23T17:28:38.380;117;2,0
2026-03-23T17:28:38.381;117;2,0
2026-03-23T17:28:39.336;116;2,2
2026-03-23T17:28:40.297;114;5,1
2026-03-23T17:28:41.256;111;5,3
2026-03-23T17:28:43.656;109;5,2
2026-03-23T17:28:43.658;110;6,2
2026-03-23T17:28:44.136;112;6,4
2026-03-23T17:28:45.096;113;6,7
2026-03-23T17:28:46.535;115;6,8
2026-03-23T17:28:47.493;117;6,8
