Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-22T10:22:13.774;133;0,8
2026-03-22T10:22:15.215;133;0,8
2026-03-22T10:22:16.174;133;0,8
2026-03-22T10:22:17.134;133;0,8
2026-03-22T10:22:18.093;133;0,8
2026-03-22T10:22:19.053;134;0,8
2026-03-22T10:22:20.013;134;0,9
2026-03-22T10:22:20.973;134;0,8
2026-03-22T10:22:21.935;135;0,9
2026-03-22T10:22:22.895;135;0,7
2026-03-22T10:22:23.854;135;0,8
2026-03-22T10:22:24.816;135;0,8
2026-03-22T10:22:25.776;135;0,8
2026-03-22T10:22:27.213;135;0,8
2026-03-22T10:22:28.173;135;0,8
2026-03-22T10:22:29.134;135;0,8
2026-03-22T10:22:30.097;135;1,0
2026-03-22T10:22:31.055;135;0,9
2026-03-22T10:22:32.974;135;1,0
2026-03-22T10:22:32.975;134;0,9
2026-03-22T10:22:33.936;135;0,9
2026-03-22T10:22:34.894;135;0,9
2026-03-22T10:22:35.859;135;1,0
2026-03-22T10:22:36.814;134;1,1
2026-03-22T10:22:37.774;134;1,1
2026-03-22T10:22:39.215;135;1,1
2026-03-22T10:22:40.175;135;1,1
2026-03-22T10:22:41.136;135;1,1
2026-03-22T10:22:42.095;135;1,1
2026-03-22T10:22:43.055;135;1,0
2026-03-22T10:22:44.015;135;1,0
2026-03-22T10:22:44.975;134;1,0
2026-03-22T10:22:45.938;133;1,1
2026-03-22T10:22:46.898;133;1,1
2026-03-22T10:22:47.855;133;1,0
2026-03-22T10:22:48.814;133;0,9
2026-03-22T10:22:49.777;132;0,9
2026-03-22T10:22:50.734;132;0,8
2026-03-22T10:22:52.175;132;0,8
2026-03-22T10:22:53.135;132;0,8
2026-03-22T10:22:54.099;132;0,8
2026-03-22T10:22:55.056;133;0,9
2026-03-22T10:22:56.017;133;1,0
2026-03-22T10:22:56.975;133;1,0
2026-03-22T10:22:58.899;133;1,0
2026-03-22T10:22:58.901;133;0,9
2026-03-22T10:22:59.856;133;1,0
2026-03-22T10:23:00.816;133;1,2
2026-03-22T10:23:02.259;133;1,2
2026-03-22T10:23:02.736;133;1,2
2026-03-22T10:23:04.175;133;1,2
2026-03-22T10:23:05.139;132;1,3
2026-03-22T10:23:06.099;132;1,4
