Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-04-07T15:41:55.050;82
2026-04-07T15:41:56.029;80
2026-04-07T15:41:57.060;78
2026-04-07T15:41:58.000;78;117,7
2026-04-07T15:41:59.029;79;96,1
2026-04-07T15:42:00.013;80;89,0
2026-04-07T15:42:01.021;83;75,0
2026-04-07T15:42:02.040;83
2026-04-07T15:42:03.031;85;68,5
2026-04-07T15:42:04.050;86;65,8
2026-04-07T15:42:05.069;86
2026-04-07T15:42:06.029;86
2026-04-07T15:42:07.064;85;86,4
2026-04-07T15:42:08.083;84;82,3
2026-04-07T15:42:09.029;84
2026-04-07T15:42:10.020;84;120,5
2026-04-07T15:42:11.084;83;120,5
2026-04-07T15:42:12.079;83
2026-04-07T15:42:13.071;83
2026-04-07T15:42:14.082;83
2026-04-07T15:42:15.080;83;117,6
2026-04-07T15:42:16.065;83;179,4
2026-04-07T15:42:17.112;83;191,1
2026-04-07T15:42:18.109;83;187,2
2026-04-07T15:42:19.096;85;197,2
2026-04-07T15:42:20.086;87;193,6
2026-04-07T15:42:21.218;89;187,8
2026-04-07T15:42:22.172;90;185,4
2026-04-07T15:42:23.090;91;185,2
2026-04-07T15:42:24.051;91;185,2
2026-04-07T15:42:25.538;90;185,2
2026-04-07T15:42:26.504;90;185,2
2026-04-07T15:42:27.475;89;185,1
2026-04-07T15:42:28.427;89;185,1
2026-04-07T15:42:29.377;90;185,1
2026-04-07T15:42:30.327;90;179,9
2026-04-07T15:42:31.290;90;179,6
2026-04-07T15:42:33.219;90;163,5
2026-04-07T15:42:33.220;91;163,5
2026-04-07T15:42:34.651;92;161,9
2026-04-07T15:42:35.088;92;108,7
2026-04-07T15:42:36.098;93;77,6
2026-04-07T15:42:37.542;93;7,4
2026-04-07T15:42:38.503;93;6,9
2026-04-07T15:42:39.462;94;6,8
2026-04-07T15:42:40.415;95;6,8
2026-04-07T15:42:41.373;95;6,9
2026-04-07T15:42:42.340;95;6,3
2026-04-07T15:42:43.297;95;6,6
2026-04-07T15:42:44.266;96;6,2
2026-04-07T15:42:45.214;96;6,2
2026-04-07T15:42:46.171;97;6,2
2026-04-07T15:42:47.091;98;5,8
2026-04-07T15:42:48.087;98;5,3
2026-04-07T15:42:49.538;98;4,5
2026-04-07T15:42:50.498;98;4,8
2026-04-07T15:42:51.460;96;5,1
2026-04-07T15:42:52.421;95;7,7
2026-04-07T15:42:53.375;94;7,7
2026-04-07T15:42:54.333;94;8,9
2026-04-07T15:42:55.293;94;8,9
2026-04-07T15:42:56.253;93;8,7
2026-04-07T15:42:57.213;93;8,7
2026-04-07T15:42:58.151;92;8,7
2026-04-07T15:42:59.139;93;8,7
2026-04-07T15:43:00.099;93;8,6
2026-04-07T15:43:01.493;93;8,6
2026-04-07T15:43:02.496;94;8,5
2026-04-07T15:43:03.457;95;8,9
2026-04-07T15:43:04.412;97;9,3
2026-04-07T15:43:05.375;97;9,3
2026-04-07T15:43:06.333;98;9,2
2026-04-07T15:43:07.286;99;9,2
2026-04-07T15:43:08.256;99;9,1
2026-04-07T15:43:09.212;100;8,7
2026-04-07T15:43:11.123;101;6,7
2026-04-07T15:43:11.123;101;6,7
2026-04-07T15:43:13.062;102;5,0
2026-04-07T15:43:13.489;103;5,1
2026-04-07T15:43:14.499;104;4,8
2026-04-07T15:43:15.456;104;4,8
2026-04-07T15:43:16.414;105;4,8
2026-04-07T15:43:17.377;105;4,7
2026-04-07T15:43:18.335;104;14,2
2026-04-07T15:43:20.256;103;25,9
2026-04-07T15:43:20.257;102;25,9
2026-04-07T15:43:21.220;102;26,5
2026-04-07T15:43:22.177;98;27,5
2026-04-07T15:43:23.139;96;28,9
2026-04-07T15:43:24.097;96;29,0
2026-04-07T15:43:25.537;97;29,0
2026-04-07T15:43:26.498;97;29,0
2026-04-07T15:43:27.458;97;29,0
2026-04-07T15:43:28.416;97;29,0
2026-04-07T15:43:29.384;96;29,1
2026-04-07T15:43:30.333;95;29,2
2026-04-07T15:43:31.299;94;29,2
2026-04-07T15:43:32.263;94;29,2
2026-04-07T15:43:33.212;95;29,3
2026-04-07T15:43:34.182;96;29,5
2026-04-07T15:43:35.092;97;29,5
2026-04-07T15:43:36.103;99;26,4
2026-04-07T15:43:37.545;100;15,0
2026-04-07T15:43:38.509;101;15,0
2026-04-07T15:43:39.461;102;11,5
2026-04-07T15:43:40.368;102;9,4
2026-04-07T15:43:41.330;102;6,7
2026-04-07T15:43:42.289;103;6,6
2026-04-07T15:43:43.252;103;6,5
2026-04-07T15:43:44.252;104;6,5
2026-04-07T15:43:45.211;105;6,5
2026-04-07T15:43:46.133;105;6,0
2026-04-07T15:43:47.092;105;5,8
2026-04-07T15:43:48.104;105;5,8
2026-04-07T15:43:49.540;103;5,7
2026-04-07T15:43:50.456;102;5,2
2026-04-07T15:43:51.458;102;4,0
2026-04-07T15:43:52.413;101;3,7
2026-04-07T15:43:53.402;101;3,3
2026-04-07T15:43:54.342;102;3,3
2026-04-07T15:43:55.302;102;3,4
2026-04-07T15:43:56.252;102;3,5
2026-04-07T15:43:58.133;103;3,5
2026-04-07T15:43:58.135;103;3,5
2026-04-07T15:43:59.074;103;3,5
2026-04-07T15:44:00.036;102;3,9
2026-04-07T15:44:01.489;101;3,8
2026-04-07T15:44:02.453;101;3,8
2026-04-07T15:44:03.395;101;4,0
2026-04-07T15:44:04.415;102;3,6
2026-04-07T15:44:05.375;102;3,5
2026-04-07T15:44:06.342;102;3,1
2026-04-07T15:44:07.298;101;3,3
2026-04-07T15:44:08.255;101;3,3
2026-04-07T15:44:09.157;100;3,5
2026-04-07T15:44:10.165;100;3,4
2026-04-07T15:44:11.137;100;3,4
2026-04-07T15:44:12.095;100;3,4
2026-04-07T15:44:13.536;100;3,4
2026-04-07T15:44:14.494;101;3,5
2026-04-07T15:44:15.457;102;3,8
2026-04-07T15:44:16.419;103;3,8
2026-04-07T15:44:17.375;104;3,4
2026-04-07T15:44:18.338;104;3,3
2026-04-07T15:44:19.298;105;3,3
2026-04-07T15:44:20.253;105;3,0
2026-04-07T15:44:21.213;105;3,0
2026-04-07T15:44:22.179;105;3,1
2026-04-07T15:44:23.131;105;3,1
2026-04-07T15:44:24.088;105;2,9
2026-04-07T15:44:25.565;105;2,7
2026-04-07T15:44:26.486;105;2,7
2026-04-07T15:44:27.495;105;2,7
2026-04-07T15:44:28.372;105;2,7
2026-04-07T15:44:29.367;106;2,4
2026-04-07T15:44:30.292;105;2,9
2026-04-07T15:44:31.252;104;3,7
