Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-04-06T10:19:56.392;124;0,8
2026-04-06T10:19:57.352;123;1,2
2026-04-06T10:19:58.307;123;1,2
2026-04-06T10:19:59.748;122;1,2
2026-04-06T10:20:00.669;122;1,1
2026-04-06T10:20:02.109;122;1,2
2026-04-06T10:20:02.623;122;1,2
2026-04-06T10:20:03.585;122;1,2
2026-04-06T10:20:04.542;122;1,2
2026-04-06T10:20:05.997;122;1,5
2026-04-06T10:20:06.422;121;1,5
2026-04-06T10:20:07.904;120;1,8
2026-04-06T10:20:08.384;120;1,9
2026-04-06T10:20:09.342;119;2,0
2026-04-06T10:20:10.303;118;2,1
2026-04-06T10:20:11.756;117;2,0
2026-04-06T10:20:12.706;117;1,8
2026-04-06T10:20:14.146;117;1,8
2026-04-06T10:20:14.587;117;1,8
2026-04-06T10:20:15.586;117;2,2
2026-04-06T10:20:16.544;117;2,2
2026-04-06T10:20:17.510;117;2,2
2026-04-06T10:20:18.955;117;2,3
2026-04-06T10:20:20.393;117;2,2
2026-04-06T10:20:20.393;117;2,1
2026-04-06T10:20:21.353;118;2,1
2026-04-06T10:20:22.305;118;1,9
2026-04-06T10:20:23.747;119;1,9
2026-04-06T10:20:24.715;119;1,8
2026-04-06T10:20:25.670;120;1,7
2026-04-06T10:20:26.627;120;1,9
2026-04-06T10:20:27.550;120;1,9
2026-04-06T10:20:28.509;120;2,0
2026-04-06T10:20:30.474;121;1,8
2026-04-06T10:20:30.476;120;1,6
2026-04-06T10:20:31.435;120;1,7
2026-04-06T10:20:32.389;120;1,9
2026-04-06T10:20:33.344;120;2,1
2026-04-06T10:20:34.307;120;2,1
2026-04-06T10:20:36.229;121;2,0
2026-04-06T10:20:36.668;121;1,9
2026-04-06T10:20:37.665;121;1,9
2026-04-06T10:20:38.625;121;1,9
2026-04-06T10:20:39.585;122;1,9
2026-04-06T10:20:41.028;122;1,9
2026-04-06T10:20:41.453;122;1,7
2026-04-06T10:20:42.943;122;1,7
2026-04-06T10:20:43.387;122;1,7
2026-04-06T10:20:44.386;123;1,7
2026-04-06T10:20:45.348;123;1,7
2026-04-06T10:20:46.332;123;1,5
2026-04-06T10:20:47.748;123;1,5
2026-04-06T10:20:48.710;123;1,2
2026-04-06T10:20:49.661;122;2,1
2026-04-06T10:20:50.629;121;2,2
2026-04-06T10:20:51.587;120;2,3
