Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-25T18:41:48.532;119;1,6
2026-03-25T18:41:51.449;119;1,7
2026-03-25T18:41:51.450;118;1,5
2026-03-25T18:41:51.891;117;1,8
2026-03-25T18:41:52.893;116;1,9
2026-03-25T18:41:53.856;115;2,0
2026-03-25T18:41:54.813;113;2,9
2026-03-25T18:41:55.768;112;2,9
2026-03-25T18:41:57.690;112;3,1
2026-03-25T18:41:57.691;112;3,1
2026-03-25T18:41:58.668;113;3,1
2026-03-25T18:41:59.598;113;3,2
2026-03-25T18:42:00.534;112;3,5
2026-03-25T18:42:01.971;112;3,5
2026-03-25T18:42:02.916;111;4,0
2026-03-25T18:42:03.874;110;4,1
2026-03-25T18:42:04.833;109;4,0
2026-03-25T18:42:05.802;109;4,4
2026-03-25T18:42:06.768;110;4,5
2026-03-25T18:42:08.247;111;4,4
2026-03-25T18:42:08.673;111;4,4
2026-03-25T18:42:09.647;111;4,7
2026-03-25T18:42:10.649;109;5,1
2026-03-25T18:42:11.618;106;5,3
2026-03-25T18:42:12.999;106;5,2
2026-03-25T18:42:13.954;106;5,2
2026-03-25T18:42:14.916;107;5,6
2026-03-25T18:42:15.928;108;6,2
2026-03-25T18:42:16.892;110;6,0
2026-03-25T18:42:17.850;112;6,2
2026-03-25T18:42:18.812;114;6,0
2026-03-25T18:42:19.816;115;6,0
2026-03-25T18:42:21.688;117;5,9
2026-03-25T18:42:21.689;118;5,8
2026-03-25T18:42:22.636;118;5,7
2026-03-25T18:42:23.657;118;5,7
2026-03-25T18:42:25.048;118;5,4
2026-03-25T18:42:26.018;118;4,6
2026-03-25T18:42:26.999;118;4,3
2026-03-25T18:42:28.895;119;4,4
2026-03-25T18:42:28.895;119;4,1
2026-03-25T18:42:29.840;120;3,9
2026-03-25T18:42:30.839;121;3,0
2026-03-25T18:42:31.738;122;2,7
2026-03-25T18:42:32.720;123;2,5
2026-03-25T18:42:33.640;125;2,6
2026-03-25T18:42:34.614;127;2,4
2026-03-25T18:42:35.614;129;2,6
2026-03-25T18:42:36.585;130;2,6
2026-03-25T18:42:38.010;132;2,6
2026-03-25T18:42:38.974;133;2,6
2026-03-25T18:42:39.935;134;2,6
2026-03-25T18:42:40.896;134;2,6
2026-03-25T18:42:41.857;135;2,5
2026-03-25T18:42:42.817;136;2,5
