Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-24T16:29:22.481;120
2026-03-24T16:29:23.924;119
2026-03-24T16:29:24.865;119;1,0
2026-03-24T16:29:25.854;119;0,9
2026-03-24T16:29:26.847;118;1,0
2026-03-24T16:29:27.804;118;1,3
2026-03-24T16:29:28.767;118;1,3
2026-03-24T16:29:29.723;117;2,3
2026-03-24T16:29:30.688;116;2,1
2026-03-24T16:29:31.644;116;2,0
2026-03-24T16:29:32.565;116;2,1
2026-03-24T16:29:33.524;116;2,0
2026-03-24T16:29:34.467;115;2,0
2026-03-24T16:29:35.964;115;2,0
2026-03-24T16:29:36.884;115;2,0
2026-03-24T16:29:37.884;112;5,4
2026-03-24T16:29:38.804;107;8,3
2026-03-24T16:29:39.800;105;8,6
2026-03-24T16:29:40.770;103;8,6
2026-03-24T16:29:41.724;102;8,9
2026-03-24T16:29:42.680;103;9,2
2026-03-24T16:29:43.643;104;10,6
2026-03-24T16:29:44.601;107;10,6
2026-03-24T16:29:45.565;108;10,6
2026-03-24T16:29:46.526;109;27,4
2026-03-24T16:29:48.448;108;27,4
2026-03-24T16:29:48.883;108;27,7
2026-03-24T16:29:50.849;106;27,9
2026-03-24T16:29:50.850;103;28,4
2026-03-24T16:29:51.763;101;28,4
2026-03-24T16:29:52.759;100;28,5
2026-03-24T16:29:53.725;100;28,5
2026-03-24T16:29:54.660;99;28,5
2026-03-24T16:29:56.129;99;28,0
2026-03-24T16:29:57.087;100;27,3
2026-03-24T16:29:57.523;100;27,3
2026-03-24T16:29:58.529;99;27,4
2026-03-24T16:29:59.961;98;27,6
2026-03-24T16:30:01.400;97;27,6
2026-03-24T16:30:01.842;95;27,0
2026-03-24T16:30:02.806;95;27,0
2026-03-24T16:30:03.802;96;27,1
2026-03-24T16:30:04.732;97;10,2
2026-03-24T16:30:06.216;98;10,2
2026-03-24T16:30:07.163;98;9,4
2026-03-24T16:30:07.604;99;7,1
2026-03-24T16:30:09.079;101;7,2
2026-03-24T16:30:09.526;102;7,2
2026-03-24T16:30:10.525;103;7,3
2026-03-24T16:30:11.925;104;7,2
2026-03-24T16:30:12.927;104;7,7
2026-03-24T16:30:13.882;104;7,6
2026-03-24T16:30:14.805;103;7,6
2026-03-24T16:30:15.765;103;7,3
2026-03-24T16:30:16.762;104;6,2
2026-03-24T16:30:18.201;105;6,4
2026-03-24T16:30:19.167;106;6,4
2026-03-24T16:30:19.603;106;6,3
2026-03-24T16:30:20.607;106;5,3
2026-03-24T16:30:22.524;106;5,3
2026-03-24T16:30:22.526;106;5,5
2026-03-24T16:30:23.956;107;5,6
2026-03-24T16:30:24.919;108;5,8
2026-03-24T16:30:25.878;108;5,6
2026-03-24T16:30:26.844;108;5,3
2026-03-24T16:30:27.806;107;5,6
2026-03-24T16:30:29.721;106;5,1
2026-03-24T16:30:29.722;104;5,1
2026-03-24T16:30:30.678;104;5,1
2026-03-24T16:30:31.642;104;5,2
2026-03-24T16:30:33.086;104;5,3
2026-03-24T16:30:33.565;105;5,0
2026-03-24T16:30:34.522;105;5,0
2026-03-24T16:30:36.930;106;5,0
2026-03-24T16:30:36.931;106;5,0
2026-03-24T16:30:38.368;105;5,4
2026-03-24T16:30:38.803;105;5,4
2026-03-24T16:30:39.802;104;5,1
2026-03-24T16:30:40.772;104;4,6
2026-03-24T16:30:41.728;104;4,8
2026-03-24T16:30:42.686;105;5,4
2026-03-24T16:30:44.124;106;5,6
2026-03-24T16:30:44.606;108;5,2
2026-03-24T16:30:45.562;108;5,2
2026-03-24T16:30:47.487;106;6,6
2026-03-24T16:30:47.964;101;11,7
2026-03-24T16:30:48.925;99;11,7
2026-03-24T16:30:50.368;99;12,2
2026-03-24T16:30:50.849;100;13,1
2026-03-24T16:30:52.765;102;13,3
2026-03-24T16:30:52.766;104;13,3
2026-03-24T16:30:53.726;105;13,4
2026-03-24T16:30:54.691;107;13,2
2026-03-24T16:30:55.650;108;13,2
2026-03-24T16:30:56.610;109;13,2
2026-03-24T16:30:57.574;109;13,2
2026-03-24T16:30:58.524;108;13,6
2026-03-24T16:30:59.962;105;14,1
2026-03-24T16:31:00.922;103;14,1
2026-03-24T16:31:01.885;101;14,1
2026-03-24T16:31:02.850;101;14,0
2026-03-24T16:31:03.808;102;9,7
2026-03-24T16:31:04.769;102;9,7
2026-03-24T16:31:06.687;103;9,7
2026-03-24T16:31:06.689;104;8,3
2026-03-24T16:31:07.646;105;7,4
2026-03-24T16:31:08.601;105;7,1
2026-03-24T16:31:09.565;106;7,1
2026-03-24T16:31:10.530;106;7,0
2026-03-24T16:31:11.969;106;6,9
2026-03-24T16:31:12.931;105;7,2
2026-03-24T16:31:14.369;104;7,4
2026-03-24T16:31:14.805;103;7,3
2026-03-24T16:31:16.768;104;6,1
2026-03-24T16:31:16.769;104;5,5
2026-03-24T16:31:17.732;106;5,4
