Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-04-02T10:05:42.736;84
2026-04-02T10:05:43.694;84
2026-04-02T10:05:44.643;83;14,3
2026-04-02T10:05:45.617;83;12,8
2026-04-02T10:05:46.576;83;11,5
2026-04-02T10:05:48.017;83;14,6
2026-04-02T10:05:49.438;85;14,9
2026-04-02T10:05:49.937;85;14,5
2026-04-02T10:05:50.929;86;13,9
2026-04-02T10:05:51.893;86;13,4
2026-04-02T10:05:52.863;86;16,1
2026-04-02T10:05:54.256;85;16,7
2026-04-02T10:05:54.736;84;17,2
2026-04-02T10:05:55.697;82;16,3
2026-04-02T10:05:57.178;82;16,0
2026-04-02T10:05:58.147;81;15,4
2026-04-02T10:05:59.087;81;15,1
2026-04-02T10:06:00.058;82;15,5
2026-04-02T10:06:01.013;82;15,2
2026-04-02T10:06:01.973;83;14,9
2026-04-02T10:06:02.927;83;14,6
2026-04-02T10:06:04.850;83;14,0
2026-04-02T10:06:04.851;83;13,7
2026-04-02T10:06:06.780;82;13,6
2026-04-02T10:06:10.619;83;13,6
2026-04-02T10:06:10.620;83;13,8
2026-04-02T10:06:10.623;83;12,6
2026-04-02T10:06:10.623;83;12,0
2026-04-02T10:06:10.623;83;12,0
2026-04-02T10:06:12.065;82;12,9
2026-04-02T10:06:14.935;82;13,1
2026-04-02T10:06:14.936;81;10,9
2026-04-02T10:06:15.377;81;10,5
2026-04-02T10:06:15.893;82;11,0
2026-04-02T10:06:16.889;82;11,4
2026-04-02T10:06:17.778;83;11,4
2026-04-02T10:06:18.738;84;11,2
2026-04-02T10:06:19.698;84;11,2
2026-04-02T10:06:21.189;85;10,1
2026-04-02T10:06:22.135;86;10,2
2026-04-02T10:06:22.567;87;10,6
2026-04-02T10:06:24.017;88;10,5
2026-04-02T10:06:25.936;89;10,5
2026-04-02T10:06:25.937;91;10,4
2026-04-02T10:06:26.895;92;10,4
2026-04-02T10:06:27.856;93;10,2
2026-04-02T10:06:28.815;93;10,5
2026-04-02T10:06:29.778;91;11,0
2026-04-02T10:06:30.738;91;9,8
2026-04-02T10:06:31.698;91;9,5
2026-04-02T10:06:32.641;91;9,5
2026-04-02T10:06:33.619;91;9,1
2026-04-02T10:06:34.564;91;7,5
2026-04-02T10:06:36.018;92;6,8
2026-04-02T10:06:36.977;92;6,8
2026-04-02T10:06:37.920;92;6,8
2026-04-02T10:06:38.887;90;10,8
2026-04-02T10:06:39.845;82;25,8
2026-04-02T10:06:40.817;78;26,0
2026-04-02T10:06:41.760;76;31,6
2026-04-02T10:06:42.721;74;31,5
2026-04-02T10:06:43.682;73;31,5
2026-04-02T10:06:44.659;73;34,0
2026-04-02T10:06:45.619;74;36,6
2026-04-02T10:06:46.578;75;36,8
2026-04-02T10:06:48.019;77;37,2
2026-04-02T10:06:48.960;78;37,2
2026-04-02T10:06:49.939;79;37,2
2026-04-02T10:06:50.896;79;37,3
2026-04-02T10:06:51.857;79;38,4
2026-04-02T10:06:52.815;78;39,1
2026-04-02T10:06:53.819;77;39,4
2026-04-02T10:06:54.782;76;39,4
2026-04-02T10:06:55.737;75;39,4
2026-04-02T10:06:56.693;76;40,0
2026-04-02T10:06:57.658;76;40,6
2026-04-02T10:06:58.613;77;40,6
2026-04-02T10:07:00.536;77;40,6
2026-04-02T10:07:00.977;77;40,8
2026-04-02T10:07:01.937;77;39,9
2026-04-02T10:07:02.939;77;32,3
2026-04-02T10:07:03.891;77;26,6
2026-04-02T10:07:04.857;77;26,7
2026-04-02T10:07:05.820;77;26,7
2026-04-02T10:07:06.783;76;26,8
2026-04-02T10:07:08.644;76;23,8
2026-04-02T10:07:08.645;75;22,5
2026-04-02T10:07:10.095;75;20,3
2026-04-02T10:07:10.576;74;20,1
2026-04-02T10:07:12.015;73;19,5
2026-04-02T10:07:13.455;72;19,4
2026-04-02T10:07:14.896;72;19,4
2026-04-02T10:07:14.897;71;19,4
2026-04-02T10:07:15.858;70;20,6
2026-04-02T10:07:16.818;69;19,1
2026-04-02T10:07:17.778;68;18,7
2026-04-02T10:07:20.178;68;19,6
2026-04-02T10:07:20.656;67;19,6
2026-04-02T10:07:20.657;67;19,7
2026-04-02T10:07:21.618;68;21,1
2026-04-02T10:07:23.059;68;19,9
2026-04-02T10:07:24.017;68;19,9
2026-04-02T10:07:24.978;68;19,9
2026-04-02T10:07:25.938;68;20,6
2026-04-02T10:07:27.379;68;20,3
2026-04-02T10:07:27.860;68;20,3
2026-04-02T10:07:28.818;68;20,3
2026-04-02T10:07:30.260;70;25,6
2026-04-02T10:07:30.737;72;26,7
2026-04-02T10:07:31.737;77;27,1
2026-04-02T10:07:33.177;78;27,1
2026-04-02T10:07:33.653;81;26,6
2026-04-02T10:07:35.093;82;26,6
