Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-19T10:03:28.759;76
2026-03-19T10:03:30.209;79
2026-03-19T10:03:31.170;80
2026-03-19T10:03:32.133;83;8,2
2026-03-19T10:03:33.091;87;7,3
2026-03-19T10:03:34.051;88;6,8
2026-03-19T10:03:35.011;90;6,6
2026-03-19T10:03:35.967;90;6,3
2026-03-19T10:03:36.930;91;6,3
2026-03-19T10:03:37.889;91;6,1
2026-03-19T10:03:39.332;92;5,7
2026-03-19T10:03:39.811;92;5,6
2026-03-19T10:03:40.769;91;5,8
2026-03-19T10:03:42.210;91;5,8
2026-03-19T10:03:43.172;91;5,6
2026-03-19T10:03:44.131;90;5,5
2026-03-19T10:03:45.092;90;5,3
2026-03-19T10:03:46.040;89;5,2
2026-03-19T10:03:47.010;89;5,2
2026-03-19T10:03:47.958;88;6,2
2026-03-19T10:03:48.920;87;7,4
2026-03-19T10:03:49.873;86;7,2
2026-03-19T10:03:50.849;86;7,4
2026-03-19T10:03:51.810;86;8,6
2026-03-19T10:03:52.772;87;9,1
2026-03-19T10:03:54.213;88;9,1
2026-03-19T10:03:55.161;88;9,0
2026-03-19T10:03:56.121;88;9,5
2026-03-19T10:03:57.079;87;9,9
2026-03-19T10:03:58.042;86;13,0
2026-03-19T10:03:59.013;83;17,4
2026-03-19T10:03:59.972;82;17,4
2026-03-19T10:04:00.933;81;20,5
2026-03-19T10:04:02.357;82;21,5
2026-03-19T10:04:02.848;83;21,8
2026-03-19T10:04:03.811;84;21,9
2026-03-19T10:04:04.771;85;21,9
2026-03-19T10:04:06.212;85;21,9
2026-03-19T10:04:07.156;85;21,9
2026-03-19T10:04:08.131;86;21,9
2026-03-19T10:04:09.074;86;21,6
2026-03-19T10:04:10.052;86;21,2
2026-03-19T10:04:11.012;86;21,2
2026-03-19T10:04:11.973;87;20,7
2026-03-19T10:04:12.913;88;20,6
2026-03-19T10:04:13.875;88;20,6
2026-03-19T10:04:14.834;90;20,8
2026-03-19T10:04:15.815;92;20,8
2026-03-19T10:04:16.771;93;19,0
2026-03-19T10:04:18.196;95;15,1
2026-03-19T10:04:19.161;96;15,1
2026-03-19T10:04:20.134;97;10,4
2026-03-19T10:04:21.093;97;8,0
2026-03-19T10:04:22.052;97;6,9
2026-03-19T10:04:23.013;97;6,9
2026-03-19T10:04:24.933;97;6,7
2026-03-19T10:04:24.935;97;6,8
2026-03-19T10:04:25.891;98;6,9
2026-03-19T10:04:26.851;98;6,9
2026-03-19T10:04:27.813;99;6,9
2026-03-19T10:04:28.775;99;6,9
2026-03-19T10:04:30.196;97;7,4
2026-03-19T10:04:31.171;95;13,5
2026-03-19T10:04:32.115;91;13,9
2026-03-19T10:04:33.093;90;13,8
2026-03-19T10:04:34.037;88;13,0
2026-03-19T10:04:35.012;88;13,7
2026-03-19T10:04:35.973;89;15,3
2026-03-19T10:04:36.932;90;15,3
2026-03-19T10:04:37.893;91;15,4
2026-03-19T10:04:39.814;92;15,3
2026-03-19T10:04:39.816;92;15,5
2026-03-19T10:04:40.776;91;16,0
2026-03-19T10:04:42.197;89;16,9
2026-03-19T10:04:43.154;89;16,9
2026-03-19T10:04:44.132;89;17,3
2026-03-19T10:04:45.076;89;17,3
2026-03-19T10:04:46.052;89;17,2
2026-03-19T10:04:47.001;89;17,3
2026-03-19T10:04:47.973;89;17,3
2026-03-19T10:04:49.893;88;17,2
2026-03-19T10:04:49.896;89;17,2
2026-03-19T10:04:50.851;89;12,2
2026-03-19T10:04:51.812;89;12,0
2026-03-19T10:04:52.772;90;12,1
2026-03-19T10:04:54.195;90;11,4
2026-03-19T10:04:55.171;91;9,5
2026-03-19T10:04:56.133;92;9,1
2026-03-19T10:04:57.092;92;9,0
2026-03-19T10:04:58.039;93;9,0
2026-03-19T10:04:59.013;93;8,8
2026-03-19T10:04:59.957;93;8,1
2026-03-19T10:05:00.933;93;5,7
2026-03-19T10:05:01.877;93;5,7
2026-03-19T10:05:02.850;93;4,3
2026-03-19T10:05:03.799;93;4,3
2026-03-19T10:05:04.772;93;4,4
2026-03-19T10:05:06.196;92;4,9
2026-03-19T10:05:07.173;91;4,9
2026-03-19T10:05:08.133;90;5,0
2026-03-19T10:05:09.564;90;4,2
2026-03-19T10:05:10.054;90;4,4
2026-03-19T10:05:11.013;90;4,4
2026-03-19T10:05:11.973;90;4,4
2026-03-19T10:05:12.932;89;4,4
2026-03-19T10:05:14.850;89;4,1
2026-03-19T10:05:14.851;89;4,1
2026-03-19T10:05:15.811;89;4,1
2026-03-19T10:05:17.252;89;4,1
2026-03-19T10:05:18.212;88;5,5
2026-03-19T10:05:19.173;86;8,6
2026-03-19T10:05:20.124;85;9,5
2026-03-19T10:05:21.092;84;9,5
2026-03-19T10:05:22.053;84;14,1
2026-03-19T10:05:23.012;84;14,1
2026-03-19T10:05:23.973;84;14,1
2026-03-19T10:05:24.933;84;14,1
2026-03-19T10:05:25.892;84;13,9
2026-03-19T10:05:26.851;84;13,8
2026-03-19T10:05:27.813;84;13,8
2026-03-19T10:05:28.773;84;13,8
2026-03-19T10:05:30.213;84;13,8
2026-03-19T10:05:31.173;84;13,8
2026-03-19T10:05:32.612;84;13,8
2026-03-19T10:05:33.093;84;13,7
2026-03-19T10:05:35.014;84;13,7
2026-03-19T10:05:35.492;85;13,8
2026-03-19T10:05:35.974;86;14,1
2026-03-19T10:05:36.928;86;14,1
2026-03-19T10:05:37.893;87;13,7
2026-03-19T10:05:40.293;88;12,7
2026-03-19T10:05:40.296;89;11,4
2026-03-19T10:05:41.253;91;11,4
2026-03-19T10:05:42.212;91;4,8
2026-03-19T10:05:44.135;92;4,9
2026-03-19T10:05:44.137;92;4,9
2026-03-19T10:05:45.093;92;4,9
2026-03-19T10:05:46.055;92;4,9
2026-03-19T10:05:47.013;92;4,9
2026-03-19T10:05:47.973;92;5,0
2026-03-19T10:05:49.414;92;4,9
2026-03-19T10:05:49.892;93;4,9
2026-03-19T10:05:50.852;93;4,9
2026-03-19T10:05:51.813;93;4,9
2026-03-19T10:05:52.777;92;4,9
2026-03-19T10:05:54.213;92;5,5
2026-03-19T10:05:55.173;91;4,6
2026-03-19T10:05:56.133;91;4,6
2026-03-19T10:05:57.093;90;4,5
2026-03-19T10:05:58.052;90;3,8
2026-03-19T10:05:59.013;90;3,8
2026-03-19T10:05:59.973;90;3,7
2026-03-19T10:06:01.414;90;3,7
2026-03-19T10:06:01.892;90;4,1
2026-03-19T10:06:02.848;91;5,1
2026-03-19T10:06:03.815;91;5,1
2026-03-19T10:06:04.775;92;5,1
2026-03-19T10:06:06.214;92;5,1
2026-03-19T10:06:07.174;92;5,5
2026-03-19T10:06:08.131;91;7,2
2026-03-19T10:06:09.094;88;10,4
2026-03-19T10:06:10.053;87;10,5
2026-03-19T10:06:11.013;86;10,5
2026-03-19T10:06:11.973;86;11,7
2026-03-19T10:06:12.933;85;11,8
2026-03-19T10:06:13.894;86;12,1
2026-03-19T10:06:15.334;86;12,0
2026-03-19T10:06:15.814;87;12,0
2026-03-19T10:06:16.773;87;11,9
2026-03-19T10:06:18.693;87;11,9
2026-03-19T10:06:19.172;88;12,0
2026-03-19T10:06:20.133;88;12,0
2026-03-19T10:06:21.574;88;12,0
2026-03-19T10:06:23.494;88;11,9
2026-03-19T10:06:23.496;88;11,5
2026-03-19T10:06:24.454;89;11,6
2026-03-19T10:06:24.922;90;11,6
2026-03-19T10:06:25.879;90;11,7
2026-03-19T10:06:26.851;90;11,4
2026-03-19T10:06:27.812;90;10,5
2026-03-19T10:06:28.768;88;9,8
2026-03-19T10:06:30.201;88;9,7
2026-03-19T10:06:31.650;87;9,8
2026-03-19T10:06:32.123;85;9,7
2026-03-19T10:06:33.093;84;9,5
2026-03-19T10:06:34.053;84;9,5
2026-03-19T10:06:35.016;83;9,3
2026-03-19T10:06:35.960;83;9,4
2026-03-19T10:06:36.920;84;10,1
2026-03-19T10:06:37.882;84;10,3
2026-03-19T10:06:40.277;85;10,2
2026-03-19T10:06:40.279;85;10,6
2026-03-19T10:06:40.755;84;10,7
2026-03-19T10:06:42.694;84;10,8
2026-03-19T10:06:43.651;84;10,8
2026-03-19T10:06:44.124;84;10,6
2026-03-19T10:06:45.075;84;10,6
2026-03-19T10:06:46.533;84;10,9
2026-03-19T10:06:47.014;84;10,8
2026-03-19T10:06:47.974;85;10,8
2026-03-19T10:06:48.934;85;10,7
2026-03-19T10:06:50.361;84;9,0
2026-03-19T10:06:50.838;84;9,2
2026-03-19T10:06:51.813;83;9,1
2026-03-19T10:06:52.776;82;9,6
2026-03-19T10:06:54.212;81;9,6
2026-03-19T10:06:55.170;81;9,6
2026-03-19T10:06:56.135;80;9,6
2026-03-19T10:06:57.095;81;10,1
2026-03-19T10:06:59.013;81;10,0
2026-03-19T10:06:59.015;81;9,9
2026-03-19T10:06:59.974;81;10,3
2026-03-19T10:07:01.893;81;11,4
2026-03-19T10:07:01.896;79;12,1
2026-03-19T10:07:02.851;79;12,1
2026-03-19T10:07:03.813;79;16,7
2026-03-19T10:07:04.776;80;17,4
2026-03-19T10:07:06.214;81;18,1
2026-03-19T10:07:07.175;83;18,0
2026-03-19T10:07:08.133;83;18,0
2026-03-19T10:07:09.094;84;18,0
2026-03-19T10:07:10.052;84;18,3
2026-03-19T10:07:11.014;85;18,1
2026-03-19T10:07:11.973;85;18,0
2026-03-19T10:07:12.933;85;18,0
2026-03-19T10:07:14.853;85;17,3
2026-03-19T10:07:14.855;85;17,3
2026-03-19T10:07:15.814;86;17,3
2026-03-19T10:07:16.774;86;17,0
2026-03-19T10:07:18.215;86;16,4
2026-03-19T10:07:19.173;86;16,5
2026-03-19T10:07:20.132;86;16,7
2026-03-19T10:07:21.094;85;15,6
2026-03-19T10:07:22.054;85;14,6
2026-03-19T10:07:23.014;85;14,6
2026-03-19T10:07:23.974;85;9,0
2026-03-19T10:07:24.933;85;9,0
2026-03-19T10:07:25.892;85;7,6
2026-03-19T10:07:26.852;84;9,5
2026-03-19T10:07:27.813;83;11,0
2026-03-19T10:07:28.774;82;11,0
2026-03-19T10:07:30.213;80;11,1
2026-03-19T10:07:31.174;80;10,7
2026-03-19T10:07:32.134;80;10,7
2026-03-19T10:07:33.094;80;10,7
2026-03-19T10:07:34.054;79;10,6
2026-03-19T10:07:35.014;78;11,8
2026-03-19T10:07:35.973;77;12,0
2026-03-19T10:07:36.933;77;12,0
2026-03-19T10:07:38.375;76;12,6
2026-03-19T10:07:39.332;76;14,5
2026-03-19T10:07:39.814;77;14,5
2026-03-19T10:07:40.772;78;15,1
