Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-31T16:03:49.101;104
2026-03-31T16:03:50.058;103
2026-03-31T16:03:51.019;103;1,1
2026-03-31T16:03:51.978;103;1,7
2026-03-31T16:03:53.420;102;4,6
2026-03-31T16:03:53.898;101;4,6
2026-03-31T16:03:55.820;100;4,3
2026-03-31T16:03:56.299;99;4,2
2026-03-31T16:03:57.260;98;4,1
2026-03-31T16:03:58.219;98;3,8
2026-03-31T16:03:59.180;98;4,3
2026-03-31T16:04:00.621;99;4,4
2026-03-31T16:04:01.580;99;4,2
2026-03-31T16:04:02.060;99;4,1
2026-03-31T16:04:03.019;99;3,9
2026-03-31T16:04:03.981;99;3,8
2026-03-31T16:04:04.939;100;3,8
2026-03-31T16:04:05.898;100
2026-03-31T16:04:06.861;101;4,0
2026-03-31T16:04:08.301;102;4,2
2026-03-31T16:04:09.259;102;4,4
2026-03-31T16:04:10.219;102
2026-03-31T16:04:11.661;103;4,4
2026-03-31T16:04:12.139;104;4,4
2026-03-31T16:04:13.102;105;3,7
2026-03-31T16:04:15.022;106;3,7
2026-03-31T16:04:15.023;106;3,8
2026-03-31T16:04:16.942;107;3,8
2026-03-31T16:04:16.945;108;3,8
2026-03-31T16:04:18.382;108;3,4
2026-03-31T16:04:18.859;109;3,2
2026-03-31T16:04:20.302;110;3,3
2026-03-31T16:04:21.261;111;3,3
2026-03-31T16:04:22.207;111;3,3
2026-03-31T16:04:23.181;112;3,3
2026-03-31T16:04:24.141;112;2,9
2026-03-31T16:04:25.099;113;2,6
2026-03-31T16:04:26.540;113;2,2
2026-03-31T16:04:27.019;113;2,0
2026-03-31T16:04:27.980;113;2,0
2026-03-31T16:04:29.421;114;2,0
2026-03-31T16:04:29.898;114;1,9
2026-03-31T16:04:30.861;114;1,7
2026-03-31T16:04:32.298;114;1,7
2026-03-31T16:04:33.262;114;1,6
2026-03-31T16:04:34.218;115;1,6
2026-03-31T16:04:35.661;115;1,6
2026-03-31T16:04:36.140;116;1,5
2026-03-31T16:04:37.581;116;1,3
2026-03-31T16:04:38.084;116;1,7
2026-03-31T16:04:39.022;116;1,6
2026-03-31T16:04:40.979;116;1,6
2026-03-31T16:04:40.980;116;1,7
2026-03-31T16:04:41.943;116;1,7
2026-03-31T16:04:42.903;116;1,8
2026-03-31T16:04:44.341;117;1,9
2026-03-31T16:04:45.286;117;1,8
2026-03-31T16:04:46.734;118;1,9
2026-03-31T16:04:47.178;118;1,9
2026-03-31T16:04:48.621;118;1,8
2026-03-31T16:04:50.580;118;1,8
2026-03-31T16:04:50.581;119;1,8
2026-03-31T16:04:51.060;119;1,8
2026-03-31T16:04:52.015;119;1,5
2026-03-31T16:04:52.979;120;1,3
2026-03-31T16:04:53.942;120;1,3
2026-03-31T16:04:54.858;119;1,3
2026-03-31T16:04:57.298;119;1,7
2026-03-31T16:04:57.298;118;1,7
2026-03-31T16:04:58.222;117;1,8
2026-03-31T16:04:59.226;116;1,8
2026-03-31T16:05:00.663;116;1,8
2026-03-31T16:05:01.098;115;1,7
2026-03-31T16:05:02.097;115;1,7
2026-03-31T16:05:04.018;115;1,7
2026-03-31T16:05:04.018;115;1,7
2026-03-31T16:05:05.455;114;1,9
