Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-27T14:55:45.100;82
2026-03-27T14:55:46.060;84
2026-03-27T14:55:47.021;86;3,5
2026-03-27T14:55:47.983;88;5,4
2026-03-27T14:55:48.944;90;5,0
2026-03-27T14:55:49.901;91;5,0
2026-03-27T14:55:51.863;91;5,2
2026-03-27T14:55:51.864;91;7,1
2026-03-27T14:55:52.820;90;9,5
2026-03-27T14:55:53.781;88;11,7
2026-03-27T14:55:54.701;87;11,3
2026-03-27T14:55:55.660;87;10,7
2026-03-27T14:55:57.105;86;10,5
2026-03-27T14:55:58.585;86;10,3
2026-03-27T14:55:59.022;86;10,0
2026-03-27T14:56:00.027;86;10,2
2026-03-27T14:56:00.981;83;17,0
2026-03-27T14:56:01.938;82;18,9
2026-03-27T14:56:02.898;80;18,5
2026-03-27T14:56:03.859;79;18,2
2026-03-27T14:56:04.833;79;19,8
2026-03-27T14:56:05.780;79;19,6
2026-03-27T14:56:06.746;79;19,6
2026-03-27T14:56:07.719;79;19,6
2026-03-27T14:56:09.102;78;19,8
2026-03-27T14:56:10.061;77;21,6
2026-03-27T14:56:11.063;76;21,6
2026-03-27T14:56:12.018;76;21,6
2026-03-27T14:56:12.982;76;22,9
2026-03-27T14:56:13.944;76;22,9
2026-03-27T14:56:14.906;76;22,9
2026-03-27T14:56:15.860;77;21,9
2026-03-27T14:56:16.820;77;22,0
2026-03-27T14:56:17.788;78;22,0
2026-03-27T14:56:18.737;78;22,2
2026-03-27T14:56:19.696;78;22,1
2026-03-27T14:56:21.628;79;22,8
2026-03-27T14:56:22.580;79;22,9
2026-03-27T14:56:23.066;80;22,5
2026-03-27T14:56:23.983;81;19,2
2026-03-27T14:56:24.972;81;17,4
2026-03-27T14:56:25.944;79;22,5
2026-03-27T14:56:27.382;78;22,0
2026-03-27T14:56:28.302;77;21,3
2026-03-27T14:56:28.784;77;21,2
2026-03-27T14:56:31.224;76;21,4
2026-03-27T14:56:31.225;77;23,2
2026-03-27T14:56:31.663;77;22,1
2026-03-27T14:56:33.146;76;26,3
2026-03-27T14:56:34.064;74;29,0
2026-03-27T14:56:35.501;73;29,0
2026-03-27T14:56:36.024;73;31,3
2026-03-27T14:56:36.985;73;32,4
2026-03-27T14:56:37.945;74;33,1
2026-03-27T14:56:38.905;75;33,2
2026-03-27T14:56:39.857;76;33,3
2026-03-27T14:56:40.826;77;33,3
2026-03-27T14:56:41.785;78;33,3
2026-03-27T14:56:42.744;80;33,5
2026-03-27T14:56:43.709;83;33,2
2026-03-27T14:56:45.143;84;33,2
2026-03-27T14:56:46.106;87;33,3
2026-03-27T14:56:47.064;91;30,2
2026-03-27T14:56:48.026;92;29,8
2026-03-27T14:56:49.425;95;29,8
2026-03-27T14:56:50.425;98;28,1
2026-03-27T14:56:50.900;99;28,1
2026-03-27T14:56:51.846;100;23,6
2026-03-27T14:56:52.841;100;20,2
2026-03-27T14:56:53.787;101;14,4
2026-03-27T14:56:54.744;101;11,6
2026-03-27T14:56:55.699;102;8,6
2026-03-27T14:56:57.141;103;7,9
2026-03-27T14:56:58.100;104;7,4
2026-03-27T14:56:59.065;104;7,3
2026-03-27T14:57:00.028;103;6,3
2026-03-27T14:57:00.992;102;5,4
2026-03-27T14:57:02.420;97;14,1
2026-03-27T14:57:02.862;95;14,0
2026-03-27T14:57:03.875;93;13,6
2026-03-27T14:57:05.310;92;14,4
2026-03-27T14:57:05.744;93;15,1
2026-03-27T14:57:07.709;95;15,4
2026-03-27T14:57:07.710;95;15,4
2026-03-27T14:57:09.146;96;15,6
2026-03-27T14:57:10.103;95;16,0
2026-03-27T14:57:11.068;94;16,1
2026-03-27T14:57:12.018;94;16,1
2026-03-27T14:57:12.982;93;16,1
2026-03-27T14:57:14.897;94;16,2
2026-03-27T14:57:14.898;94;16,3
2026-03-27T14:57:16.346;95;16,4
2026-03-27T14:57:16.818;96;16,4
2026-03-27T14:57:18.265;97;16,4
2026-03-27T14:57:19.226;97;16,4
2026-03-27T14:57:19.663;96;13,8
2026-03-27T14:57:21.146;95;10,6
2026-03-27T14:57:22.110;93;11,1
2026-03-27T14:57:23.067;92;11,1
2026-03-27T14:57:24.029;92;9,7
2026-03-27T14:57:25.473;92;9,1
2026-03-27T14:57:25.901;92;8,5
2026-03-27T14:57:26.865;92;8,5
2026-03-27T14:57:28.301;92;8,2
2026-03-27T14:57:28.781;92;7,2
2026-03-27T14:57:30.744;92;7,2
2026-03-27T14:57:30.745;91;7,9
2026-03-27T14:57:31.702;90;8,5
2026-03-27T14:57:33.620;90;9,5
2026-03-27T14:57:34.104;90;9,2
2026-03-27T14:57:35.064;91;9,2
2026-03-27T14:57:36.022;91;9,2
2026-03-27T14:57:36.926;91;9,2
2026-03-27T14:57:37.887;91;9,8
2026-03-27T14:57:38.846;90;9,3
2026-03-27T14:57:40.766;90;9,4
2026-03-27T14:57:41.247;87;12,1
2026-03-27T14:57:42.207;86;12,1
2026-03-27T14:57:42.691;85;12,1
2026-03-27T14:57:43.647;84;12,7
2026-03-27T14:57:45.571;84;12,7
2026-03-27T14:57:46.529;84;12,7
2026-03-27T14:57:47.007;83;13,4
2026-03-27T14:57:47.967;82;13,7
2026-03-27T14:57:48.926;81;13,7
2026-03-27T14:57:49.887;80;19,0
2026-03-27T14:57:50.849;78;19,1
2026-03-27T14:57:52.783;78;18,8
2026-03-27T14:57:52.785;78;23,3
2026-03-27T14:57:53.789;79;24,4
2026-03-27T14:57:54.739;80;24,3
2026-03-27T14:57:55.702;81;24,3
2026-03-27T14:57:56.612;82;24,7
2026-03-27T14:57:58.049;81;29,2
2026-03-27T14:57:59.066;80;29,8
2026-03-27T14:58:00.502;79;29,6
2026-03-27T14:58:00.945;78;29,8
2026-03-27T14:58:01.942;78;30,3
2026-03-27T14:58:02.908;79;30,4
2026-03-27T14:58:03.867;80;30,0
2026-03-27T14:58:04.826;80;30,0
2026-03-27T14:58:05.791;79;31,7
2026-03-27T14:58:06.744;78;37,2
2026-03-27T14:58:07.708;76;37,2
2026-03-27T14:58:08.661;75;37,2
2026-03-27T14:58:10.106;75;37,7
2026-03-27T14:58:11.067;75;38,0
2026-03-27T14:58:12.027;75;38,0
2026-03-27T14:58:12.988;75;35,7
2026-03-27T14:58:14.907;75;35,7
2026-03-27T14:58:14.907;75;35,7
2026-03-27T14:58:15.863;74;33,6
2026-03-27T14:58:17.778;74;33,0
2026-03-27T14:58:17.779;75;32,1
2026-03-27T14:58:18.742;75;32,1
2026-03-27T14:58:19.742;76;31,8
2026-03-27T14:58:20.624;76;28,3
2026-03-27T14:58:22.597;77;27,6
2026-03-27T14:58:23.024;77;27,6
2026-03-27T14:58:23.986;78;27,4
2026-03-27T14:58:24.987;77;26,8
2026-03-27T14:58:25.943;78;25,7
2026-03-27T14:58:26.915;78;25,8
2026-03-27T14:58:28.350;79;24,4
2026-03-27T14:58:28.830;80;13,9
2026-03-27T14:58:29.788;82;14,5
2026-03-27T14:58:30.733;83;13,8
2026-03-27T14:58:32.666;84;12,1
2026-03-27T14:58:32.667;85;11,1
2026-03-27T14:58:34.114;85;11,1
2026-03-27T14:58:35.066;85;15,8
2026-03-27T14:58:36.029;83;16,4
2026-03-27T14:58:36.979;82;16,0
